instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed 
17380,2017-01-17,4,2017,1,0,0,2,1,3,0.12317073170731707,0.12317073170731707,0.79,0.032985074626865674
17380,2017-01-17,4,2017,1,1,0,2,1,3,0.12317073170731707,0.12317073170731707,0.79,0.032985074626865674
17380,2017-01-17,4,2017,1,2,0,2,1,3,0.12317073170731707,0.12317073170731707,0.79,0.032985074626865674
17381,2017-01-17,4,2017,1,3,0,2,1,3,0.09804878048780487,0.09804878048780487,0.86,0.03164179104477612
17381,2017-01-17,4,2017,1,4,0,2,1,3,0.09804878048780487,0.09804878048780487,0.86,0.03164179104477612
17381,2017-01-17,4,2017,1,5,0,2,1,3,0.09804878048780487,0.09804878048780487,0.86,0.03164179104477612
17382,2017-01-17,4,2017,1,6,0,2,1,3,0.08097560975609756,0.08097560975609756,0.94,0.02925373134328358
17382,2017-01-17,4,2017,1,7,0,2,1,3,0.08097560975609756,0.08097560975609756,0.94,0.02925373134328358
17382,2017-01-17,4,2017,1,8,0,2,1,3,0.08097560975609756,0.08097560975609756,0.94,0.02925373134328358
17383,2017-01-17,4,2017,1,9,0,2,1,3,0.06097560975609756,0.06097560975609756,1,0.02029850746268657
17383,2017-01-17,4,2017,1,10,0,2,1,3,0.06097560975609756,0.06097560975609756,1,0.02029850746268657
17383,2017-01-17,4,2017,1,11,0,2,1,3,0.06097560975609756,0.06097560975609756,1,0.02029850746268657
17384,2017-01-17,4,2017,1,12,0,2,1,3,0.0775609756097561,0.0775609756097561,1,0.019701492537313434
17384,2017-01-17,4,2017,1,13,0,2,1,3,0.0775609756097561,0.0775609756097561,1,0.019701492537313434
17384,2017-01-17,4,2017,1,14,0,2,1,3,0.0775609756097561,0.0775609756097561,1,0.019701492537313434
17385,2017-01-17,4,2017,1,15,0,2,1,3,0.12609756097560976,0.12609756097560976,0.95,0.024776119402985075
17385,2017-01-17,4,2017,1,16,0,2,1,3,0.12609756097560976,0.12609756097560976,0.95,0.024776119402985075
17385,2017-01-17,4,2017,1,17,0,2,1,3,0.12609756097560976,0.12609756097560976,0.95,0.024776119402985075
17386,2017-01-17,4,2017,1,18,0,2,1,3,0.16609756097560974,0.16609756097560974,0.93,0.03313432835820896
17386,2017-01-17,4,2017,1,19,0,2,1,3,0.16609756097560974,0.16609756097560974,0.93,0.03313432835820896
17386,2017-01-17,4,2017,1,20,0,2,1,3,0.16609756097560974,0.16609756097560974,0.93,0.03313432835820896
17387,2017-01-17,4,2017,1,21,0,2,1,3,0.18829268292682927,0.18829268292682927,0.93,0.041194029850746265
17387,2017-01-17,4,2017,1,22,0,2,1,3,0.18829268292682927,0.18829268292682927,0.93,0.041194029850746265
17387,2017-01-17,4,2017,1,23,0,2,1,3,0.18829268292682927,0.18829268292682927,0.93,0.041194029850746265
17388,2017-01-18,4,2017,1,0,0,3,1,3,0.20536585365853657,0.20536585365853657,0.96,0.0426865671641791
17388,2017-01-18,4,2017,1,1,0,3,1,3,0.20536585365853657,0.20536585365853657,0.96,0.0426865671641791
17388,2017-01-18,4,2017,1,2,0,3,1,3,0.20536585365853657,0.20536585365853657,0.96,0.0426865671641791
17389,2017-01-18,4,2017,1,3,0,3,1,3,0.2775609756097561,0.2775609756097561,0.88,0.06522388059701492
17389,2017-01-18,4,2017,1,4,0,3,1,3,0.2775609756097561,0.2775609756097561,0.88,0.06522388059701492
17389,2017-01-18,4,2017,1,5,0,3,1,3,0.2775609756097561,0.2775609756097561,0.88,0.06522388059701492
17390,2017-01-18,4,2017,1,6,0,3,1,3,0.3121951219512195,0.3121951219512195,0.87,0.055970149253731345
17390,2017-01-18,4,2017,1,7,0,3,1,3,0.3121951219512195,0.3121951219512195,0.87,0.055970149253731345
17390,2017-01-18,4,2017,1,8,0,3,1,3,0.3121951219512195,0.3121951219512195,0.87,0.055970149253731345
17391,2017-01-18,4,2017,1,9,0,3,1,3,0.26121951219512196,0.26121951219512196,0.91,0.03164179104477612
17391,2017-01-18,4,2017,1,10,0,3,1,3,0.26121951219512196,0.26121951219512196,0.91,0.03164179104477612
17391,2017-01-18,4,2017,1,11,0,3,1,3,0.26121951219512196,0.26121951219512196,0.91,0.03164179104477612
17392,2017-01-18,4,2017,1,12,0,3,1,1,0.15121951219512195,0.15121951219512195,0.93,0.027014925373134328
17392,2017-01-18,4,2017,1,13,0,3,1,1,0.15121951219512195,0.15121951219512195,0.93,0.027014925373134328
17392,2017-01-18,4,2017,1,14,0,3,1,1,0.15121951219512195,0.15121951219512195,0.93,0.027014925373134328
17393,2017-01-18,4,2017,1,15,0,3,1,1,0.2629268292682927,0.2629268292682927,0.74,0.047164179104477615
17393,2017-01-18,4,2017,1,16,0,3,1,1,0.2629268292682927,0.2629268292682927,0.74,0.047164179104477615
17393,2017-01-18,4,2017,1,17,0,3,1,1,0.2629268292682927,0.2629268292682927,0.74,0.047164179104477615
17394,2017-01-18,4,2017,1,18,0,3,1,3,0.29536585365853657,0.29536585365853657,0.66,0.07805970149253733
17394,2017-01-18,4,2017,1,19,0,3,1,3,0.29536585365853657,0.29536585365853657,0.66,0.07805970149253733
17394,2017-01-18,4,2017,1,20,0,3,1,3,0.29536585365853657,0.29536585365853657,0.66,0.07805970149253733
17395,2017-01-18,4,2017,1,21,0,3,1,1,0.2785365853658537,0.2785365853658537,0.63,0.0853731343283582
17395,2017-01-18,4,2017,1,22,0,3,1,1,0.2785365853658537,0.2785365853658537,0.63,0.0853731343283582
17395,2017-01-18,4,2017,1,23,0,3,1,1,0.2785365853658537,0.2785365853658537,0.63,0.0853731343283582
17396,2017-01-19,4,2017,1,0,0,4,1,1,0.21560975609756097,0.21560975609756097,0.7,0.06447761194029851
17396,2017-01-19,4,2017,1,1,0,4,1,1,0.21560975609756097,0.21560975609756097,0.7,0.06447761194029851
17396,2017-01-19,4,2017,1,2,0,4,1,1,0.21560975609756097,0.21560975609756097,0.7,0.06447761194029851
17397,2017-01-19,4,2017,1,3,0,4,1,1,0.1521951219512195,0.1521951219512195,0.82,0.047910447761194026
17397,2017-01-19,4,2017,1,4,0,4,1,1,0.1521951219512195,0.1521951219512195,0.82,0.047910447761194026
17397,2017-01-19,4,2017,1,5,0,4,1,1,0.1521951219512195,0.1521951219512195,0.82,0.047910447761194026
17398,2017-01-19,4,2017,1,6,0,4,1,1,0.1178048780487805,0.1178048780487805,0.91,0.047313432835820894
17398,2017-01-19,4,2017,1,7,0,4,1,1,0.1178048780487805,0.1178048780487805,0.91,0.047313432835820894
17398,2017-01-19,4,2017,1,8,0,4,1,1,0.1178048780487805,0.1178048780487805,0.91,0.047313432835820894
17399,2017-01-19,4,2017,1,9,0,4,1,1,0.09414634146341463,0.09414634146341463,0.93,0.048507462686567165
17399,2017-01-19,4,2017,1,10,0,4,1,1,0.09414634146341463,0.09414634146341463,0.93,0.048507462686567165
17399,2017-01-19,4,2017,1,11,0,4,1,1,0.09414634146341463,0.09414634146341463,0.93,0.048507462686567165
17400,2017-01-19,4,2017,1,12,0,4,1,1,0.0673170731707317,0.0673170731707317,0.99,0.041194029850746265
17400,2017-01-19,4,2017,1,13,0,4,1,1,0.0673170731707317,0.0673170731707317,0.99,0.041194029850746265
17400,2017-01-19,4,2017,1,14,0,4,1,1,0.0673170731707317,0.0673170731707317,0.99,0.041194029850746265
17401,2017-01-19,4,2017,1,15,0,4,1,1,0.18439024390243902,0.18439024390243902,0.72,0.025671641791044777
17401,2017-01-19,4,2017,1,16,0,4,1,1,0.18439024390243902,0.18439024390243902,0.72,0.025671641791044777
17401,2017-01-19,4,2017,1,17,0,4,1,1,0.18439024390243902,0.18439024390243902,0.72,0.025671641791044777
17402,2017-01-19,4,2017,1,18,0,4,1,1,0.2602439024390244,0.2602439024390244,0.65,0.04492537313432835
17402,2017-01-19,4,2017,1,19,0,4,1,1,0.2602439024390244,0.2602439024390244,0.65,0.04492537313432835
17402,2017-01-19,4,2017,1,20,0,4,1,1,0.2602439024390244,0.2602439024390244,0.65,0.04492537313432835
17403,2017-01-19,4,2017,1,21,0,4,1,1,0.278780487804878,0.278780487804878,0.6,0.041194029850746265
17403,2017-01-19,4,2017,1,22,0,4,1,1,0.278780487804878,0.278780487804878,0.6,0.041194029850746265
17403,2017-01-19,4,2017,1,23,0,4,1,1,0.278780487804878,0.278780487804878,0.6,0.041194029850746265
17404,2017-01-20,4,2017,1,0,1,5,0,1,0.12634146341463415,0.12634146341463415,0.83,0.02208955223880597
17404,2017-01-20,4,2017,1,1,1,5,0,1,0.12634146341463415,0.12634146341463415,0.83,0.02208955223880597
17404,2017-01-20,4,2017,1,2,1,5,0,1,0.12634146341463415,0.12634146341463415,0.83,0.02208955223880597
17405,2017-01-20,4,2017,1,3,1,5,0,1,0.04560975609756098,0.04560975609756098,0.89,0.01567164179104478
17405,2017-01-20,4,2017,1,4,1,5,0,1,0.04560975609756098,0.04560975609756098,0.89,0.01567164179104478
17405,2017-01-20,4,2017,1,5,1,5,0,1,0.04560975609756098,0.04560975609756098,0.89,0.01567164179104478
17406,2017-01-20,4,2017,1,6,1,5,0,1,0.010731707317073172,0.010731707317073172,0.91,0.01567164179104478
17406,2017-01-20,4,2017,1,7,1,5,0,1,0.010731707317073172,0.010731707317073172,0.91,0.01567164179104478
17406,2017-01-20,4,2017,1,8,1,5,0,1,0.010731707317073172,0.010731707317073172,0.91,0.01567164179104478
17407,2017-01-20,4,2017,1,9,1,5,0,1,0,0,0.95,0.017014925373134326
17407,2017-01-20,4,2017,1,10,1,5,0,1,0,0,0.95,0.017014925373134326
17407,2017-01-20,4,2017,1,11,1,5,0,1,0,0,0.95,0.017014925373134326
17408,2017-01-20,4,2017,1,12,1,5,0,1,0,0,0.96,0.020149253731343283
17408,2017-01-20,4,2017,1,13,1,5,0,1,0,0,0.96,0.020149253731343283
17408,2017-01-20,4,2017,1,14,1,5,0,1,0,0,0.96,0.020149253731343283
17409,2017-01-20,4,2017,1,15,1,5,0,1,0.16390243902439025,0.16390243902439025,0.75,0.032388059701492534
17409,2017-01-20,4,2017,1,16,1,5,0,1,0.16390243902439025,0.16390243902439025,0.75,0.032388059701492534
17409,2017-01-20,4,2017,1,17,1,5,0,1,0.16390243902439025,0.16390243902439025,0.75,0.032388059701492534
17410,2017-01-20,4,2017,1,18,1,5,0,2,0.2726829268292683,0.2726829268292683,0.62,0.03671641791044776
17410,2017-01-20,4,2017,1,19,1,5,0,2,0.2726829268292683,0.2726829268292683,0.62,0.03671641791044776
17410,2017-01-20,4,2017,1,20,1,5,0,2,0.2726829268292683,0.2726829268292683,0.62,0.03671641791044776
17411,2017-01-20,4,2017,1,21,1,5,0,1,0.2521951219512195,0.2521951219512195,0.65,0.04134328358208955
17411,2017-01-20,4,2017,1,22,1,5,0,1,0.2521951219512195,0.2521951219512195,0.65,0.04134328358208955
